"","income_bracket","T010101","T010102","T010201","T010299","T010301","T010399","T010401","T010501","T020101","T020102","T020103","T020104","T020199","T020201","T020202","T020203","T020301","T020302","T020303","T020399","T020401","T020402","T020499","T020501","T020502","T020599","T020601","T020602","T020699","T020701","T020799","T020801","T020901","T020902","T020903","T020904","T020905","T020999","T029999","T030101","T030102","T030103","T030104","T030105","T030106","T030108","T030109","T030110","T030111","T030112","T030199","T030201","T030202","T030203","T030204","T030299","T030301","T030302","T030303","T030399","T030401","T030402","T030403","T030404","T030405","T030499","T030501","T030502","T030503","T030504","T030599","T039999","T040101","T040102","T040103","T040104","T040105","T040106","T040108","T040109","T040110","T040111","T040112","T040199","T040201","T040203","T040301","T040302","T040303","T040399","T040401","T040402","T040403","T040404","T040405","T040499","T040501","T040502","T040503","T040504","T040505","T040506","T040507","T040508","T040599","T049999","T050101","T050102","T050103","T050104","T050201","T050202","T050203","T050204","T050205","T050301","T050302","T050303","T050304","T050305","T050399","T050401","T050403","T050404","T059999","T060101","T060102","T060103","T060199","T060201","T060202","T060299","T060301","T060302","T060399","T060401","T060403","T060499","T069999","T070101","T070102","T070103","T070104","T070105","T070199","T070201","T080101","T080102","T080201","T080202","T080203","T080299","T080301","T080401","T080402","T080403","T080499","T080501","T080502","T080601","T080699","T080701","T080702","T089999","T090101","T090103","T090104","T090199","T090201","T090202","T090301","T090401","T090402","T090499","T090501","T090502","T090599","T099999","T100101","T100102","T100103","T100199","T100201","T100304","T100305","T100401","T110101","T110201","T120101","T120201","T120202","T120299","T120301","T120302","T120303","T120304","T120305","T120306","T120307","T120308","T120309","T120310","T120311","T120312","T120313","T120399","T120401","T120402","T120403","T120404","T120499","T120501","T120502","T120503","T120504","T130101","T130102","T130103","T130104","T130105","T130106","T130107","T130108","T130109","T130110","T130112","T130113","T130114","T130115","T130116","T130117","T130118","T130119","T130120","T130121","T130122","T130123","T130124","T130125","T130126","T130127","T130128","T130129","T130130","T130131","T130132","T130133","T130134","T130135","T130136","T130199","T130202","T130203","T130205","T130206","T130207","T130210","T130213","T130214","T130216","T130218","T130219","T130222","T130224","T130225","T130226","T130227","T130229","T130232","T130299","T130301","T130302","T139999","T140101","T140102","T140103","T140105","T149999","T150101","T150102","T150103","T150104","T150105","T150106","T150199","T150201","T150202","T150203","T150204","T150299","T150301","T150302","T150399","T150401","T150402","T150499","T150501","T150601","T150602","T150699","T150701","T150801","T159999","T160101","T160102","T160103","T160104","T160105","T160106","T160107","T160108","T160199","T169999","T180101","T180201","T180202","T180203","T180204","T180205","T180206","T180207","T180208","T180209","T180299","T180301","T180302","T180303","T180304","T180305","T180399","T180401","T180402","T180403","T180404","T180405","T180499","T180501","T180502","T180503","T180504","T180601","T180602","T180603","T180604","T180699","T180701","T180702","T180703","T180704","T180799","T180801","T180802","T180803","T180804","T180805","T180806","T180807","T180899","T180901","T180902","T180903","T180904","T180905","T180999","T181001","T181002","T181099","T181101","T181201","T181202","T181203","T181204","T181205","T181301","T181302","T181401","T181501","T181599","T181601","T181801","T181899","T189999"
"1","very low",530.550109729334,2.8302852962692,46.4118507681053,0.746891002194587,1.55376737381127,0,0.3050475493782,0,29.6196049743965,12.0921726408193,0.675201170446233,1.21360643745428,0,27.9283101682516,0.376737381126554,6.68836869056328,1.33504023408925,0.197512801755669,0.485735186539868,0,0.797366495976591,1.21068032187271,0,8.88807607900512,0.320409656181419,0,2.71836137527432,1.73006583760059,0,1.90563277249451,0.0109729334308705,0.792977322604243,1.17190929041697,4.07168983174835,0.552304316020483,1.84491587417703,0.136795903438186,0,0.0548646671543526,11.2384784198976,0.691294806144843,7.7798098024872,0.0841258229700073,0.462326261887345,1.95245062179956,0.297732260424287,2.14264813460132,1.42867593269934,0.397951719092904,1.42574981711778,0.0585223116313094,2.08339429407462,0.233357717629846,0.175566934893928,0.0263350402340892,0.0109729334308705,0.252377468910022,0.122165325530358,0.21945866861741,0.106071689831748,0.348207754206291,0.0021945866861741,0.0197512801755669,0.215801024140454,0.021945866861741,0,0.0987564008778347,0.0021945866861741,0.126554498902707,0.08558888076079,0,0,0.498171177761522,0.164594001463058,1.23628383321141,0.0438917337234821,0.120702267739576,0.2033650329188,0.0731528895391368,0.226773957571324,0.381858083394294,0.000731528895391368,0.250182882223848,0,0.0109729334308705,0,0,0,0,0,0.325530358449159,0.0658376005852231,0.204828090709583,0.157278712509144,0,0,0.822970007315289,0.41185076810534,0.0109729334308705,0.100950987564009,0,0.327724945135333,0.570592538405267,0.603511338697879,0.21945866861741,0,192.950987564009,7.61082662765179,0,0.360643745427944,0,0.109729334308705,0,0,0.0131675201170446,0.258961228968544,0,1.28383321141185,0,0.021945866861741,0.757132406730066,1.42648134601317,0.171909290416971,0,0.109729334308705,14.5179224579371,0.523043160204828,0.0453547915142648,0.28895391367959,0.117044623262619,0.27798098024872,0,12.2472567666423,0.0438917337234821,0.021945866861741,0.226773957571324,0.021945866861741,0.021945866861741,0.464520848573519,6.48866130212143,0.454279444038039,1.19239209948793,13.9085588880761,0.063643013899049,0,0.13899049012436,0.134601316752012,0.021945866861741,0.27798098024872,0,0,0.0585223116313094,0.00731528895391368,1.32772494513533,0,0.88222384784199,0,0.842721287490856,0.00365764447695684,0,0,0.0021945866861741,0,0.0365764447695684,0,0.00438917337234821,0.021945866861741,0,0.141185076810534,0,0.0197512801755669,0,0,0,0.152889539136796,0.479151426481346,0,0.135332845647403,0.12289685442575,0.0475493782004389,0.0768105340160936,0,0.0658376005852231,0,0,0,59.3430870519386,0.0738844184345282,39.6488661302121,5.8558888076079,0.640819312362838,0,18.3087051938552,0.527432333577176,150.24286759327,0.0475493782004389,0.721287490855889,2.02926115581565,11.5603511338698,10.3321141185077,1.76810534016094,0,0.0109729334308705,11.1485003657644,0.212143379663497,0.621799561082663,0.704462326261887,0.124359912216533,1.84345281638625,0.354791514264813,1.00512070226774,0.0526700804681785,0.00950987564008778,0.00731528895391368,0.0109729334308705,0.247988295537674,0.153621068032187,0.972201901975128,0.62545720555962,0,0.0146305779078274,0.0760790051207023,0,0.171909290416971,0.164594001463058,0.548646671543526,0.0329188002926116,0.131675201170446,0,0.102414045354792,0,0.21945866861741,0,0.117044623262619,0,0,0.0621799561082663,0.841989758595465,0.179224579370885,0.384052670080468,0.252377468910022,0.343818580833943,0.013899049012436,0.607168983174835,2.47403072421361,2.48061448427213,0.241404535479151,2.63277249451353,0.0395025603511339,0.0987564008778347,0.286027798098025,0.365764447695684,0.129480614484272,0,0,0.0512070226773958,0,0.131675201170446,0,0,0,0,0,0.508412582297001,0,0,0,0,0.0833942940746159,0,0.0160936356986101,0,0.0987564008778347,9.28749085588881,2.54498902706657,0,0.784198975859546,0.0292611558156547,0.503291880029261,0.744696415508413,0.0292611558156547,0.0987564008778347,0.307242136064375,0.362106803218727,0.215801024140454,0.683979517190929,0.0329188002926116,0.596196049743965,1.23043160204828,0.157278712509144,0,0.687637161667886,0,0.509875640087784,0,0,0.683979517190929,0,0.0768105340160936,0.532553035844916,0,0,2.71470373079737,2.51207022677396,2.19239209948793,0.0117044623262619,0,0.049743964886613,0.135332845647403,0,0.000731528895391368,1.20994879297732,0,1.35479151426481,0.180687637161668,0.232626188734455,0.08558888076079,0.00365764447695684,0.41697147037308,0.257498171177762,0.164594001463058,0.0438917337234821,1.78566203365033,0.00146305779078274,4.77395757132407,0.0965618141916606,0.08558888076079,0.0438917337234821,0.683247988295538,0,1.09509875640088,0,0,0.114850036576445,2.9575713240673,0,15.6620336503292,0.00365764447695684,0.234089246525238,0.190197512801756,1.26920263350402,0.0512070226773958,0.350402340892465,0.06949524506218,0.021945866861741,4.31089978054133,1.06291148500366,2.44403803950256,6.47549378200439,0.0365764447695684,0.0226773957571324,0.367959034381858,0.000731528895391368,0.68471104608632,0.369422092172641,0.193855157278712,0.0117044623262619,0.0146305779078274,0.0182882223847842,0.0182882223847842,0.0256035113386979,0,0.456474030724214,0,0.0731528895391368,0.329188002926116,0,7.48134601316752,6.20702267739576,1.11338697878566,2.0080468178493,0.720555961960497,1.77322604242868,1.38551572787125,0.393562545720556,1.73445501097293,1.05705925384053,0.0365764447695684,0.0746159473299195,0.534016093635699,0.00365764447695684,1.59180687637162
"2","low",518.238975817923,2.73897581792319,43.5839260312945,0.00355618776671408,2.03627311522048,0,0.117354196301565,0,23.8328591749644,11.5739687055477,0.564011379800853,1.47297297297297,0,25.3307254623044,0.124466571834993,6.41963015647226,2.81507823613087,0.181365576102418,0.536984352773827,0,1.36913229018492,1.17354196301565,0.0213371266002845,8.94381223328592,0.0554765291607397,0,2.52204836415363,2.39260312944523,0,3.38691322901849,0.0839260312944523,1.15576102418208,1.26458036984353,4.30583214793741,0.352773826458037,1.89046941678521,0.0711237553342817,0,0,10.3335704125178,0.750355618776671,7.83357041251778,0,0.181365576102418,0.926031294452347,0.328591749644381,2.39971550497866,0.904694167852063,0.505689900426743,1.54623044096728,0.00355618776671408,1.92603129445235,0.127311522048364,0,0,0.00142247510668563,0.288762446657183,0.176386913229019,0.0355618776671408,0.554765291607397,0.093172119487909,0.110241820768137,0.0106685633001422,0,0.373399715504979,0,0.17425320056899,0.0213371266002845,0.290184921763869,0.0796586059743954,0.0590327169274538,0.0177809388335704,0.544807965860597,0.042674253200569,1.46159317211949,0,0,0.286628733997155,0,1.06330014224751,0.206258890469417,0,0.245376955903272,0.0960170697012802,0.0462304409672831,0,0.00213371266002845,0.0924608819345661,0.0142247510668563,0,0.288051209103841,0,0.0533428165007112,0,0,0,0.93172119487909,1.74110953058321,0.00142247510668563,0.423186344238976,0.042674253200569,0.162873399715505,0.433854907539118,0.16927453769559,0.42674253200569,0,250.872688477952,11.0988620199147,0.042674253200569,0.345661450924609,0,0.0248933143669986,0,0,0.00711237553342817,0,0,0.0142247510668563,0.085348506401138,0,0.821479374110953,0.554054054054054,0.213371266002845,0,0,2.20697012802276,0.945234708392603,0.0106685633001422,0,0,0,0,6.10953058321479,0.248933143669986,0,0,0,0,0.0711237553342817,7.84495021337127,0.433143669985775,1.32147937411095,17.3947368421053,0.0462304409672831,0,0,0.0106685633001422,0,0.186344238975818,0,0,0,0,1.29587482219061,0,0.194879089615932,0.000711237553342817,0.898293029871977,0.135135135135135,0.00711237553342817,0,0.167140825035562,0.0248933143669986,0.085348506401138,0,0.00995732574679943,0,0,0.0213371266002845,0,0,0,0,0,0.122332859174964,0.108819345661451,0,0.085348506401138,0.0284495021337127,0.0227596017069701,0.0476529160739687,0.231152204836415,0.273826458036984,0,0,0,61.6529160739687,0.123044096728307,38.400426742532,6.25675675675676,0.0640113798008535,0,16.7147937411095,0.571123755334282,145.549075391181,0.234708392603129,0.950924608819346,1.13442389758179,7.19345661450925,7.16358463726885,0.451635846372688,0,0,9.55405405405405,0.085348506401138,0.0604551920341394,1.71834992887624,0,1.40825035561878,1.05263157894737,2.28520625889047,0.00711237553342817,0,0,0.0384068278805121,0.0320056899004267,0,0.206258890469417,0.831436699857752,0.320056899004267,0.405405405405405,0.320056899004267,0,0.238264580369844,0.128022759601707,1.2823613086771,0.213371266002845,0.689900426742532,0,0.34850640113798,0,0.19203413940256,0,0,0,0.042674253200569,0,0.440967283072546,0,0,0.153627311522048,0.238264580369844,0.672119487908962,0.120910384068279,2.40753911806543,1.68136557610242,0.666429587482219,2.09815078236131,0,0.19203413940256,0.98221906116643,0.660028449502134,0.37624466571835,0.216927453769559,0,0,0.135135135135135,0.170697012802276,0.732574679943101,0,0,0,0,0.0960170697012802,0.291607396870555,0.263157894736842,0,0,0,0.142247510668563,0.096728307254623,0,0,8.63513513513514,2.07041251778094,0.0433854907539118,0.573968705547653,0,0.349217638691323,0.526315789473684,0.0640113798008535,0.0782361308677098,0,0,0.042674253200569,0.332147937411095,0,0.00711237553342817,0.549075391180654,0.00213371266002845,0.751778093883357,0.291607396870555,0.0640113798008535,0.234708392603129,0.376955903271693,0,0.464438122332859,0,0,0,0,0,1.40682788051209,1.89687055476529,1.97368421052632,0,0,0.0540540540540541,0.00213371266002845,0,0.00568990042674253,0.568990042674253,0,0.871977240398293,0.201280227596017,0.182076813655761,0.115931721194879,0.0320056899004267,0.00142247510668563,0.160028449502134,0.117354196301565,0,1.34495021337127,0.00142247510668563,4.77027027027027,0.0305832147937411,0.0419630156472262,0.0320056899004267,0.711948790896159,0.00355618776671408,0.9950213371266,0,0.0355618776671408,0.0547652916073969,2.38904694167852,0,20.3051209103841,0,0.0746799431009957,0.246088193456615,0.624466571834993,0,0.0796586059743954,0,0,3.57396870554765,1.46657183499289,2.44096728307255,7.47155049786629,0,0.0213371266002845,0.308677098150782,0,0.512091038406828,0.286628733997155,0.182788051209104,0.128022759601707,0.0177809388335704,0.0391180654338549,0,0,0,0.159317211948791,0,0.0874822190611664,0.0540540540540541,0,5.79089615931721,5.21052631578947,0.943100995732575,2.16927453769559,1.27453769559033,2.05903271692745,1.59601706970128,0.42674253200569,1.42460881934566,0.768847795163585,0.0490753911806543,0.180654338549075,0.0533428165007112,0,1.68207681365576
"3","medium",513.445678033307,1.67882632831086,43.4932593180016,0,1.16812053925456,0,0.556701030927835,0,18.7026169706582,12.4821570182395,0.499603489294211,1.15781126090404,0,24.3314829500396,0.10071371927042,6.01189532117367,2.84298176050753,0.392545598731166,0.49563838223632,0,2.01744647105472,0.995241871530531,0.0198255352894528,10.8501189532117,0.0674068199841396,0,2.38540840602696,2.37430610626487,0,2.08009516256939,0.000793021411578113,0.98334655035686,1.46550356859635,5.253766851705,0.512291831879461,1.78350515463918,0.0785091197462331,0,0.0158604282315623,9.56701030927835,0.935765265662173,6.67486122125297,0.137985725614592,0.174464710547185,0.964314036478985,0.245043616177637,2.10785091197462,1.91831879460745,0.258524980174465,1.2751784298176,0.0158604282315623,1.78747026169707,0.304520222045995,0.126883425852498,0,0.0713719270420301,0.263283108643933,0.13877874702617,0,0,0.329103885804917,0,0.00555114988104679,0.0475812846946868,0.757335448057098,0,0.174464710547185,0.0198255352894528,0.118160190325139,0.229976209357653,0,0,0.660586835844568,0,1.56542426645519,0.0356859635210151,0.0713719270420301,0.0158604282315623,0.0872323552735924,0.606661379857256,0.383822363203807,0.0832672482157018,0.170499603489294,0.0158604282315623,0,0,0,0,0,0.49167327517843,0.874702616970658,0.0158604282315623,0.0166534496431404,0,0,0.0158604282315623,0.816812053925456,1.81760507533703,0.19746233148295,0.205392545598731,0.0237906423473434,0.721649484536082,0.607454401268834,0.156225218080888,0.0237906423473434,0,263.890563045202,11.4107850911975,0.0158604282315623,0.451229183187946,0.0951625693893735,0.255352894528152,0,0,0.0174464710547185,0.0158604282315623,0,0.0237906423473434,0,0,0.183980967486122,0.103092783505155,0,0,0.157811260904044,0.367168913560666,0.0991276764472641,0,0,0,0,0,2.57573354480571,0.0237906423473434,0,0,0,0,0,6.64393338620143,0.329103885804917,1.31641554321967,17.1245043616178,0.0317208564631245,0,0.0356859635210151,0.00793021411578113,0,0.195876288659794,0.103092783505155,0,0,0,1.05392545598731,0,0.0753370340999207,0,0.551149881046788,0.0277557494052339,0.103092783505155,0,0.0158604282315623,0.0237906423473434,0,0,0.0229976209357653,0,0,0.178429817605075,0.00475812846946868,0,0,0,0,0.562252180808882,0.29817605075337,0,0,0,0,0.229976209357653,0,0.0317208564631245,0.0555114988104679,0,0,65.8810467882633,0.124504361617764,35.3671689135607,6.5543219666931,0.465503568596352,0.0118953211736717,11.9579698651864,0.465503568596352,147.726407613006,0.0475812846946868,0.393338620142744,0.976209357652657,6.72957969865186,9.34575733544806,1.61379857256146,0,0.0713719270420301,12.9032513877875,0,0.0436161776367962,0.515463917525773,0.285487708168121,1.91911181601903,0.463917525773196,1.34575733544806,0,0,0,0.0436161776367962,0.0951625693893735,0,0,1.0325138778747,0.56304520222046,0,0.356859635210151,0,0.190325138778747,0,1.04282315622522,0,1.12450436161776,0,0.356859635210151,0,0.467882632831086,0,0.259318001586043,0,0.118953211736717,0,0.652656621728787,0.190325138778747,0.0396510705789056,0.0713719270420301,0.396510705789056,0.16812053925456,0.21411578112609,1.84218873909596,1.71609833465504,0.285487708168121,2.58445678033307,0,0.140364789849326,0.585249801744647,0.34892942109437,0.301348136399683,0,0.0911974623314829,0,0,0.337034099920698,0,0.158604282315623,0,0.182394924662966,0,0.0832672482157018,0.955590800951626,0,0,0.0713719270420301,0.130848532910389,0.0713719270420301,0.056304520222046,0.0198255352894528,0,9.38540840602696,1.65027755749405,0.0277557494052339,0.661379857256146,0,0.551149881046788,0.494845360824742,0,0.0555114988104679,0.0118953211736717,0.820777160983347,0.118953211736717,0.384615384615385,0.340999206978588,0.358445678033307,0.850911974623315,0,0.0237906423473434,0.297383029341792,0,0.95796986518636,0,0.0951625693893735,0.796986518636003,0.0475812846946868,0.117367168913561,0,0.00793021411578113,0,2.55511498810468,2.16415543219667,1.69072164948454,0.000793021411578113,0.00396510705789056,0.0063441712926249,0.0856463124504362,0,0,0.733544805709754,0,0.363203806502776,0.0951625693893735,0.309278350515464,0.0594766058683584,0.0594766058683584,0.0951625693893735,0.108643933386201,0.0904044409199048,0,1.73354480570975,0,4.09595559080095,0.0650277557494052,0.0713719270420301,0.0396510705789056,0.643933386201427,0,0.829500396510706,0,0.0713719270420301,0.114195083267248,3.45440126883426,0,21.0111022997621,0.0237906423473434,0.014274385408406,0,0.0745440126883426,0,0.0396510705789056,0,0,3.08088818398097,0.789056304520222,2.79777954004758,7.27359238699445,0,0.0118953211736717,0.279936558287074,0,0.383029341792228,0.180015860428232,0.19746233148295,0.0317208564631245,0,0.063441712926249,0.00793021411578113,0,0,0.182394924662966,0,0.16812053925456,0.0317208564631245,0,6.96986518636003,6.20935765265662,1.09278350515464,2.19270420301348,1.02696272799366,1.13798572561459,2.13798572561459,0.39095955590801,2.06026962727994,1.23235527359239,0.166534496431404,0.0452022204599524,0,0.49563838223632,1.40523394131642
"4","high",499.444947209653,2.51432880844646,42.2601809954751,0,1.19909502262443,0.745098039215686,0.420060331825038,0,20.5588235294118,10.0429864253394,0.478883861236802,1.06862745098039,0,21.3823529411765,0.27526395173454,4.85746606334842,4.13876319758673,0.80316742081448,0.14630467571644,0,2.68099547511312,2.1447963800905,0.0452488687782805,13.9283559577677,0.203619909502262,0.0113122171945701,2.94494720965309,2.75641025641026,0,3.65158371040724,0,1.08597285067873,1.19532428355958,7.22775263951735,0.638009049773756,2.53619909502262,0.0625942684766214,0,0.0980392156862745,10.9343891402715,1.42835595776772,10.3401206636501,0.256410256410256,0.541478129713424,0.893665158371041,0.346907993966817,1.20135746606335,2.69457013574661,0.290346907993967,1.33710407239819,0.0226244343891403,2.06938159879336,0.0603318250377074,0,0,0.0150829562594268,0.0950226244343891,0.343137254901961,0.195324283559578,0,0.1289592760181,0.0105580693815988,0,0.147058823529412,0.128205128205128,0,0.0829562594268477,0.120663650075415,0.158371040723982,0.0452488687782805,0.0678733031674208,0,0.220211161387632,0.105580693815988,1.04826546003017,0,0,0.0935143288084465,0,0.0452488687782805,0.0678733031674208,0.0150829562594268,0.0957767722473605,0,0.0188536953242836,0.150829562594268,0,0,0,0,0.67948717948718,0.0339366515837104,0.0678733031674208,0.0150829562594268,0.192307692307692,0,0.226244343891403,1.58748114630468,0.0452488687782805,1.06259426847662,0.0678733031674208,0.307692307692308,0.416289592760181,0.113122171945701,0.599547511312217,0,259.206636500754,7.53393665158371,0.0226244343891403,0.0950226244343891,0.354449472096531,0.399698340874811,0,0,0,0.282051282051282,0.0339366515837104,0,0.0452488687782805,0,1.05354449472097,0.452488687782805,0.0452488687782805,0,0,0.603318250377074,0.0452488687782805,0.0113122171945701,0,0.0904977375565611,0,0,2.24283559577677,0.0904977375565611,0,0,0,0,0,6.64102564102564,0.503016591251885,1.30995475113122,16.8544494720965,0.0150829562594268,0,0.101809954751131,0.030920060331825,0,0.235294117647059,0.0150829562594268,0,0,0.0339366515837104,1.33861236802413,0.0904977375565611,0.0942684766214178,0,1.18552036199095,0.0942684766214178,0.51659125188537,0,0.0452488687782805,0.0678733031674208,0.0377073906485671,0,0.0490196078431373,0,0,0.147058823529412,0.0904977375565611,0.0226244343891403,0,0,0,0.158371040723982,0.214932126696833,0,0.0339366515837104,0.0226244343891403,0,0.110105580693816,0,0.0301659125188537,0,0,0,70.7171945701357,0.17420814479638,33.8061840120664,7.92911010558069,0.641025641025641,0,11.7262443438914,0.0882352941176471,131.385369532428,0,0.666666666666667,0.852187028657617,5.14630467571644,10.0739064856712,0.354449472096531,0,0.59577677224736,13.3989441930618,0.116892911010558,0.0942684766214178,1.37481146304676,0.773001508295626,1.86425339366516,0.961538461538462,1.97963800904977,0.111613876319759,0,0.0980392156862745,0,0.124434389140271,0.509049773755656,0.245098039215686,0.373303167420814,0.429864253393665,0.101809954751131,0.290346907993967,0,0.414781297134238,0.180995475113122,0.663650075414781,0,1.29939668174962,0,0.447963800904977,0.0226244343891403,1.6025641025641,0,0.473604826546003,0,0.113122171945701,0,0.98340874811463,0.678733031674208,0.0452488687782805,0,0.531674208144796,0.135746606334842,0.0980392156862745,1.81749622926094,3.53092006033182,0.610859728506787,3.18853695324284,0,0.346907993966817,0.929110105580694,0.331825037707391,0.460030165912519,0,0,0,0,0.237556561085973,0.120663650075415,0.150829562594268,0,0,0,0.196078431372549,0.165912518853695,0.0452488687782805,0,0,0,0.271493212669683,0.00980392156862745,0,0,8.51734539969834,1.5369532428356,0,0.430618401206637,0.0150829562594268,1.18401206636501,1.21342383107089,0.0678733031674208,0.0678733031674208,0,0.0150829562594268,0.156862745098039,0.2526395173454,0,0.0452488687782805,1.89592760180995,0,0,0.150829562594268,0,0.671191553544495,0.237556561085973,0.0339366515837104,0.708898944193062,0.0904977375565611,0.474358974358974,0,0,0,3.29788838612368,1.82880844645551,1.3974358974359,0.000754147812971342,0.00754147812971342,0.0105580693815988,0.0188536953242836,0,0.0150829562594268,0.84841628959276,0,1.30995475113122,0.256410256410256,0.292609351432881,0.0663650075414781,0,0.203619909502262,0.271493212669683,0.230769230769231,0.0279034690799397,1.73604826546003,0.0113122171945701,4.23529411764706,0.0882352941176471,0.222473604826546,0.0754147812971342,0.543740573152338,0,0.69079939668175,0.0188536953242836,0,0.171945701357466,3.13876319758673,0,22.1161387631976,0.5,0.052790346907994,0.147812971342383,0.377073906485671,0.0339366515837104,0.0150829562594268,0,0,3.46153846153846,2.14705882352941,2.99622926093514,8.65686274509804,0.0150829562594268,0,0.324283559577677,0,0.608597285067873,0.432126696832579,0.326546003016591,0.135746606334842,0.0150829562594268,0.0942684766214178,0,0.101809954751131,0,0.143288084464555,0,0.0384615384615385,0,0,9.53846153846154,5.4630467571644,1.50452488687783,1.79185520361991,2.0920060331825,1.38763197586727,2.79864253393665,0.474358974358974,2.01357466063348,1.24283559577677,0.0301659125188537,0.125942684766214,0,0.0791855203619909,1.88989441930618
"5","very high",490.65,1.57238805970149,40.5455223880597,0.0223880597014925,1.42238805970149,0.0746268656716418,0.425373134328358,0,19.3805970149254,9.30074626865672,0.726865671641791,1.24402985074627,0,22.9686567164179,0.197761194029851,4.92537313432836,7.2089552238806,0.540298507462687,0.541044776119403,0,2.20149253731343,2.19776119402985,0,11.4111940298507,0.0559701492537313,0,2.24850746268657,2.65597014925373,0.00373134328358209,2.69701492537313,0,1.0410447761194,2.25671641791045,6.77462686567164,1.08059701492537,2.42611940298507,0.12089552238806,0,0.0447761194029851,12.2380597014925,1.79253731343284,10.2544776119403,0.0559701492537313,0.507462686567164,1.44029850746269,0.353731343283582,1.55597014925373,2.96641791044776,0.256716417910448,1.38208955223881,0.105970149253731,2.95746268656716,0.313432835820896,0,0.00746268656716418,0,0.100746268656716,0.0895522388059701,0.130597014925373,0.156716417910448,0.185074626865672,0.194029850746269,0.0111940298507463,0.17910447761194,0,0,0.246268656716418,0.100746268656716,0.211194029850746,0.0783582089552239,0,0,0.482835820895522,0.0649253731343284,0.78955223880597,0,0,0.246268656716418,0.0335820895522388,0.191044776119403,0.204477611940299,0.0447761194029851,0.151492537313433,0.0895522388059701,0.041044776119403,0,0,0,0.17910447761194,0.0447761194029851,0.0485074626865672,0,0.00373134328358209,0,0.17910447761194,0,0.264925373134328,0.914179104477612,0.0522388059701493,0.485074626865672,0,0.05,0.406716417910448,0.0544776119402985,0.212686567164179,0,273.339552238806,4.51716417910448,0.0238805970149254,0.0111940298507463,0.202238805970149,1.18582089552239,0,0.00373134328358209,0.0970149253731343,0,0,0,0.223880597014925,0,1.15522388059701,0.305970149253731,0,0,0,1.0544776119403,0.615671641791045,0,0,0,0,0,1.40671641791045,0.17910447761194,0,0,0,0,0.194029850746269,6.91567164179104,0.514179104477612,1.40149253731343,19.0664179104478,0.0335820895522388,0.00373134328358209,0.111940298507463,0.0373134328358209,0,0.398507462686567,0.190298507462687,0,0,0,1.84776119402985,0,0.186567164179104,0,1.62910447761194,0.0447761194029851,0.559701492537313,0,0.0335820895522388,0,0.0223880597014925,0,0.0537313432835821,0,0,0.175373134328358,0,0.082089552238806,0.0111940298507463,0,0,0.358208955223881,0.0634328358208955,0,0.00746268656716418,0.00746268656716418,0,0,0.00746268656716418,0.100746268656716,0,0,0,74.6186567164179,0.201492537313433,34.9313432835821,6.60373134328358,0.291044776119403,0,12.5850746268657,0.041044776119403,115.394776119403,0,0.33134328358209,0.91044776119403,6.70149253731343,12.1298507462687,0.508208955223881,0,0.0932835820895522,18.2738805970149,0.313432835820896,0,1.88955223880597,0.535074626865672,1.92985074626866,0.0447761194029851,1.07686567164179,0,0,0,0.0223880597014925,0.207462686567164,0.0746268656716418,0.380597014925373,1.12686567164179,0.134328358208955,0,0.208955223880597,0.235074626865672,0.395522388059701,0.134328358208955,0.885820895522388,0,1.42014925373134,0,0.145522388059701,0.188059701492537,0.641791044776119,0,0.388059701492537,0,0.0671641791044776,0,1.35820895522388,0.532089552238806,0.195522388059701,0,1.20074626865672,0.444029850746269,0,3.12611940298507,1.97910447761194,1.03358208955224,3.27611940298507,0,0.201492537313433,0.832089552238806,0.726119402985075,0.145522388059701,0,0,0,0.0597014925373134,1.16567164179104,0,0.145522388059701,0,0.0298507462686567,0.149253731343284,0.369402985074627,0,0.138059701492537,0,0,0,0.335820895522388,0.0783582089552239,0.017910447761194,0,6.38283582089552,1.04253731343284,0.0111940298507463,0.708955223880597,0,0.511194029850746,0.438059701492537,0.0111940298507463,0.041044776119403,0,0.522388059701492,0.2,0.205223880597015,0.33955223880597,0.0111940298507463,1.87089552238806,0,0,0.687313432835821,0.0522388059701493,0.174626865671642,0,0.0895522388059701,0.812686567164179,0,0,0,0.167910447761194,0.0298507462686567,2.21567164179104,2.06567164179104,2.02238805970149,0,0,0.0373134328358209,0.0828358208955224,0,0.00149253731343284,0.717164179104478,0.0447761194029851,1.04925373134328,0.109701492537313,0.272388059701493,0.100746268656716,0,0.100746268656716,0.190298507462687,0.767910447761194,0.00223880597014925,3.25149253731343,0,5.37238805970149,0.144776119402985,0.0708955223880597,0.119402985074627,0.432835820895522,0,0.767164179104478,0.00373134328358209,0.175373134328358,0.0223880597014925,2.47611940298507,0,25.0529850746269,0.562686567164179,0.0634328358208955,0.0858208955223881,0.426865671641791,0,0,0,0.0298507462686567,3.97462686567164,2.70671641791045,3.38134328358209,9.14402985074627,0,0.0111940298507463,0.369402985074627,0,0.548507462686567,0.452985074626866,0.123134328358209,0.0298507462686567,0.00373134328358209,0.134328358208955,0.0223880597014925,0.0664179104477612,0,0.323880597014925,0.0111940298507463,0.00746268656716418,0.0335820895522388,0,9.02462686567164,5.42686567164179,0.871641791044776,2.0089552238806,0.935820895522388,1.65970149253731,2.52089552238806,0.748507462686567,1.4910447761194,1.93731343283582,0.0783582089552239,0.240298507462687,0.843283582089552,0.0597014925373134,2.00298507462687
