feature,importance
T050302,20109.0285312432
T080301,19501.9916384113
T050204,18294.2691139751
T040402,17452.2619443024
T130113,17243.1160491436
T100304,15918.4861657352
T090202,15617.1198951757
T040301,14037.4866667057
T060403,13680.9806978812
T020499,13423.7799462255
T180803,13225.5797824478
T050305,12511.8817882037
T150299,12166.9650618923
T100102,12021.7016884628
T060399,11588.7456833871
T150601,11463.7159232806
T130205,11340.2254506856
T040302,10645.9092720797
T120501,10254.9002858297
T060499,10093.6217469772
T040203,9220.77426140586
T020599,9061.34880823434
T100199,8218.6836523844
T150402,8064.67944321263
T030399,7828.30841400243
T160103,7059.97140922231
T040499,6375.92758229048
T180402,6217.79408095145
T080499,4987.91902625096
T040405,4484.26669671864
T130229,3417.64138079724
T130206,1641.42156572613
T180399,1405.59512157024
T080299,0.0
T080699,0.0
T181099,0.0
T090101,0.0
T060199,0.0
T080203,0.0
T080102,0.0
T060299,0.0
T180904,0.0
T050404,0.0
T050203,0.0
T049999,0.0
T030499,0.0
T090104,0.0
T090599,0.0
T090199,0.0
T090402,0.0
T180499,0.0
T020199,0.0
T160107,0.0
T130227,0.0
T130218,0.0
T130207,0.0
T130121,0.0
T130119,0.0
T010501,0.0
T130115,0.0
T180799,0.0
T020999,0.0
T020399,0.0
T120310,0.0
T100401,0.0
T100305,0.0
T090499,0.0
T120299,0.0
,
