"","x"
"T130218",0
"T130219",2844.88429161675
"T130222",644266.32799249
"T130224",800646.008596348
"T130225",8753.43124125314
"T130226",47186.5095304809
"T130227",0
"T130229",0
"T130232",9380.71311672838
"T130299",371865.584533129
"T130301",1011030.99555974
"T130302",0
"T139999",103566.261698161
"T140101",10714610.2967803
"T140102",8102284.00097455
"T140103",100289.535241479
"T140105",2459736.26454821
"T149999",27764.2413590366
"T150101",2086763.15779176
"T150102",2660291.61567014
"T150103",338364.402878222
"T150104",1709168.29120242
"T150105",158553.73544972
"T150106",1257124.25589937
"T150199",1409380.25805706
"T150201",1738980.94874591
"T150202",375559.587834263
"T150203",331260.887299273
"T150204",4212752.75491235
"T150299",11318.8972620951
"T150301",29727.2562809198
"T150302",1789170.97306817
"T150399",583632.593682839
"T150401",501584.528493085
"T150402",16810.8465565648
"T150499",7376.13437498612
"T150501",2633452.50555611
"T150601",14918.8016742838
"T150602",163318.541864229
"T150699",35207.078625304
"T150701",1974437.21375547
"T150801",316963.074408788
"T159999",5089999.47126108
"T160101",10349810.3154588
"T160102",11313836.3067022
"T160103",79798.2505543108
"T160104",10599.0525095587
"T160105",499547.126899616
"T160106",450828.295416758
"T160107",0
"T160108",1021565.96211622
"T160199",3316105.06838408
"T169999",71617.6416025773
"T180101",4638336.82350474
"T180201",1633015.3585436
"T180202",2070093.18450454
"T180203",445410.783450216
"T180204",101565.695855049
"T180205",390799.574421419
"T180206",1429566.20224428
"T180207",1406789.45190495
"T180208",697360.121045491
"T180209",11506699.6265351
"T180299",13607.4636459956
"T180301",16516233.1236806
"T180302",2468407.64899023
"T180303",1162838.07062015
"T180304",357712.466330178
"T180305",3005860.26929793
"T180399",0
"T180401",5066885.37230834
"T180402",44595.0075821374
"T180403",84065.8364390749
"T180404",285047.568433457
"T180405",9440008.63168638
"T180499",0
"T180501",53447343.8659408
"T180502",4038247.29028714
"T180503",474827.407792385
"T180504",909704.337721247
"T180601",6875847.71964953
"T180602",71542.4892701968
"T180603",587041.938073322
"T180604",48362.379858125
"T180699",63566.8264324463
"T180701",18008897.6872501
"T180702",7730063.76866483
"T180703",18010826.3679002
"T180704",25825237.2040376
"T180799",55144.5975664068
"T180801",157881.101858058
"T180802",5353086.50536653
"T180803",16152.0592361278
"T180804",3183801.68039011
"T180805",3992611.18239365
"T180806",409208.479753829
"T180807",158729.672667149
"T180899",47008.0268323194
"T180901",3848611.5109054
"T180902",36911.642219105
"T180903",1018521.5348526
"T180904",0
"T180905",1409866.01989716
"T180999",0
"T181001",231107.915718927
"T181002",176627.212589214
"T181099",0
"T181101",35198522.3594832
"T181201",17790591.0956493
"T181202",6827072.51735964
"T181203",12245538.8213744
"T181204",6800238.35200124
"T181205",2346792.27285708
"T181301",15254107.3236442
"T181302",3400318.05438506
"T181401",12688102.5084947
"T181501",10786947.0534958
"T181599",1283620.43912563
"T181601",3668582.58601743
"T181801",2408997.31045122
"T181899",1185288.21064708
"T189999",11850596.1906604
